Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,105952,280.0,1946,,,,,,
,,,,,106000,,,6.761833190917969,25.989675521850586,26.631919860839844,336.2232971191406,0.8226249999999999,9.312489583333333e-05
,,,,,106478,300.0,2114,,,,,,
,,,,,106998,290.0,2082,,,,,,
,,,,,107000,,,13.794672012329102,26.266843795776367,26.255516052246094,314.0195617675781,0.8205625,9.302072916666668e-05
,,,,,107475,230.0,1938,,,,,,
,,,,,107947,270.0,1906,,,,,,
,,,,,108000,,,4.9420366287231445,33.09626388549805,33.650291442871094,255.01272583007812,0.8185,9.29165625e-05
,,,,,108461,380.0,2058,,,,,,
,,,,,108907,280.0,1794,,,,,,
,,,,,109000,,,5.224522590637207,27.60037612915039,27.87803840637207,178.53231811523438,0.8164374999999999,9.281239583333335e-05
,,,,,109277,230.0,1482,,,,,,
,,,,,109804,340.0,2130,,,,,,
633.0,72.80797,740.0,530.0,2474.0,110000,,,11.10236930847168,27.64788246154785,28.219953536987305,281.5799560546875,0.8143750000000001,9.270822916666668e-05
,,,,,110246,240.0,1770,,,,,,
,,,,,110887,640.0,2578,,,,,,
,,,,,111000,,,3.981288433074951,33.949623107910156,33.90158462524414,161.1494598388672,0.8123125,9.26040625e-05
,,,,,111373,270.0,1954,,,,,,
,,,,,111953,410.0,2338,,,,,,
,,,,,112000,,,5.607890605926514,27.122303009033203,26.71688461303711,230.6803436279297,0.81025,9.249989583333333e-05
,,,,,112415,230.0,1866,,,,,,
,,,,,112871,310.0,1850,,,,,,
,,,,,113000,,,9.174102783203125,25.125017166137695,25.82132339477539,369.93463134765625,0.8081875000000001,9.239572916666666e-05
,,,,,113246,190.0,1506,,,,,,
,,,,,113666,260.0,1682,,,,,,
,,,,,114000,,,29.60647964477539,33.91523742675781,34.3853759765625,374.05841064453125,0.806125,9.22915625e-05
,,,,,114163,330.0,2002,,,,,,
,,,,,114668,330.0,2042,,,,,,
,,,,,115000,,,11.880168914794922,30.821081161499023,30.98388671875,349.7596740722656,0.8040625,9.218739583333333e-05
,,,,,115176,250.0,2034,,,,,,
,,,,,115705,330.0,2122,,,,,,
,,,,,116000,,,6.302192211151123,28.994054794311523,28.09408950805664,336.9794921875,0.802,9.208322916666667e-05
,,,,,116491,710.0,3162,,,,,,
,,,,,116945,310.0,1826,,,,,,
,,,,,117000,,,6.92470121383667,30.088808059692383,29.440000534057617,352.5198059082031,0.7999375,9.19790625e-05
,,,,,117401,270.0,1850,,,,,,
,,,,,117920,380.0,2082,,,,,,
,,,,,118000,,,5.619893550872803,27.685222625732422,27.638105392456055,247.54415893554688,0.797875,9.187489583333334e-05
,,,,,118348,220.0,1714,,,,,,
,,,,,118929,370.0,2338,,,,,,
,,,,,119000,,,6.531030654907227,30.294301986694336,29.908756256103516,297.1854553222656,0.7958125,9.177072916666667e-05
,,,,,119460,240.0,2146,,,,,,
,,,,,119968,310.0,2050,,,,,,
489.0,197.50696,1050.0,370.0,2380.4,120000,,,5.136772155761719,29.857566833496094,29.78327178955078,185.4984893798828,0.79375,9.16665625e-05
,,,,,120401,260.0,1738,,,,,,
,,,,,120846,300.0,1786,,,,,,
,,,,,121000,,,6.679003715515137,31.16219711303711,31.851696014404297,356.7540283203125,0.7916875,9.156239583333333e-05
,,,,,121510,440.0,2666,,,,,,
,,,,,121970,290.0,1850,,,,,,
,,,,,122000,,,13.467686653137207,30.330089569091797,29.377628326416016,466.3814392089844,0.789625,9.145822916666667e-05
,,,,,122450,330.0,1938,,,,,,
,,,,,122988,250.0,2178,,,,,,
,,,,,123000,,,53.93836212158203,24.940391540527344,25.488994598388672,598.0247802734375,0.7875625,9.13540625e-05
,,,,,123443,370.0,1842,,,,,,
,,,,,123955,310.0,2050,,,,,,
,,,,,124000,,,2.846893787384033,28.130226135253906,27.9034423828125,164.7179718017578,0.7855,9.124989583333334e-05
,,,,,124411,280.0,1826,,,,,,
,,,,,125000,,,12.998486518859863,26.896547317504883,25.23872947692871,451.107666015625,0.7834375,9.114572916666667e-05
,,,,,125022,550.0,2450,,,,,,
,,,,,125547,340.0,2114,,,,,,
,,,,,126000,,,5.399477958679199,26.044105529785156,26.23366928100586,228.3851318359375,0.781375,9.10415625e-05
,,,,,126040,220.0,1986,,,,,,
,,,,,126546,370.0,2026,,,,,,
,,,,,126991,290.0,1786,,,,,,
,,,,,127000,,,2.1582746505737305,28.849626541137695,29.083202362060547,106.520751953125,0.7793125,9.093739583333334e-05
,,,,,127586,400.0,2394,,,,,,
,,,,,127926,120.0,1362,,,,,,
,,,,,128000,,,8.842570304870605,31.061389923095703,30.060333251953125,401.0849914550781,0.77725,9.083322916666667e-05
,,,,,128286,230.0,1466,,,,,,
,,,,,128746,290.0,1842,,,,,,
,,,,,129000,,,18.149520874023438,31.193153381347656,33.046268463134766,681.958984375,0.7751875,9.072906250000001e-05
,,,,,129172,360.0,1706,,,,,,
,,,,,129666,270.0,2002,,,,,,
439.0,138.37991,750.0,330.0,2262.8,130000,,,5.480135917663574,30.613439559936523,30.90904426574707,228.33505249023438,0.7731250000000001,9.062489583333333e-05
,,,,,130140,230.0,1914,,,,,,
,,,,,130613,260.0,1914,,,,,,
,,,,,131000,,,6.59359884262085,27.879627227783203,28.144248962402344,168.37509155273438,0.7710625,9.052072916666667e-05
,,,,,131128,260.0,2074,,,,,,
,,,,,131601,250.0,1906,,,,,,
,,,,,132000,,,4.662371635437012,32.784034729003906,33.02480697631836,239.57057189941406,0.769,9.04165625e-05
,,,,,132214,370.0,2458,,,,,,
,,,,,132605,190.0,1586,,,,,,
,,,,,133000,,,112.98724365234375,36.65763473510742,38.03629684448242,508.2329406738281,0.7669375,9.031239583333334e-05
,,,,,133050,300.0,1786,,,,,,
,,,,,133437,320.0,1562,,,,,,
,,,,,133813,320.0,1514,,,,,,
,,,,,134000,,,3.438559055328369,30.91413116455078,31.85990333557129,298.0001220703125,0.764875,9.020822916666667e-05
,,,,,134261,190.0,1818,,,,,,
,,,,,134936,1820.0,2706,,,,,,
