Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,13000,,,0.1906857192516327,11.078413009643555,11.084355354309082,1.4292069673538208,0.61,0.0005
,,,,,13053,67.0,67,,,,,,
,,,,,13124,71.0,71,,,,,,
,,,,,13240,116.0,116,,,,,,
,,,,,13293,53.0,53,,,,,,
,,,,,13336,43.0,43,,,,,,
,,,,,13355,19.0,19,,,,,,
,,,,,13377,22.0,22,,,,,,
,,,,,13435,58.0,58,,,,,,
,,,,,13496,61.0,61,,,,,,
,,,,,13627,131.0,131,,,,,,
,,,,,13714,87.0,87,,,,,,
,,,,,13779,65.0,65,,,,,,
,,,,,13819,40.0,40,,,,,,
,,,,,13889,70.0,70,,,,,,
,,,,,13909,20.0,20,,,,,,
,,,,,14000,,,0.016634956002235413,11.49040412902832,11.483709335327148,0.4099721908569336,0.58,0.0005
,,,,,14079,170.0,170,,,,,,
,,,,,14096,17.0,17,,,,,,
,,,,,14169,73.0,73,,,,,,
,,,,,14216,47.0,47,,,,,,
,,,,,14237,21.0,21,,,,,,
,,,,,14272,35.0,35,,,,,,
,,,,,14301,29.0,29,,,,,,
,,,,,14320,19.0,19,,,,,,
,,,,,14338,18.0,18,,,,,,
,,,,,14374,36.0,36,,,,,,
,,,,,14419,45.0,45,,,,,,
,,,,,14518,99.0,99,,,,,,
,,,,,14555,37.0,37,,,,,,
,,,,,14634,79.0,79,,,,,,
,,,,,14675,41.0,41,,,,,,
,,,,,14700,25.0,25,,,,,,
,,,,,14761,61.0,61,,,,,,
,,,,,14790,29.0,29,,,,,,
,,,,,14807,17.0,17,,,,,,
,,,,,14835,28.0,28,,,,,,
,,,,,14921,86.0,86,,,,,,
,,,,,14950,29.0,29,,,,,,
,,,,,14997,47.0,47,,,,,,
105.1,7.8924017,117.0,89.0,105.1,15000,,,0.027444321662187576,12.282154083251953,12.304998397827148,1.17194402217865,0.55,0.0005
,,,,,15042,45.0,45,,,,,,
,,,,,15103,61.0,61,,,,,,
,,,,,15130,27.0,27,,,,,,
,,,,,15177,47.0,47,,,,,,
,,,,,15264,87.0,87,,,,,,
,,,,,15280,16.0,16,,,,,,
,,,,,15290,10.0,10,,,,,,
,,,,,15321,31.0,31,,,,,,
,,,,,15419,98.0,98,,,,,,
,,,,,15457,38.0,38,,,,,,
,,,,,15501,44.0,44,,,,,,
,,,,,15523,22.0,22,,,,,,
,,,,,15606,83.0,83,,,,,,
,,,,,15621,15.0,15,,,,,,
,,,,,15644,23.0,23,,,,,,
,,,,,15708,64.0,64,,,,,,
,,,,,15727,19.0,19,,,,,,
,,,,,15753,26.0,26,,,,,,
,,,,,15778,25.0,25,,,,,,
,,,,,15817,39.0,39,,,,,,
,,,,,15849,32.0,32,,,,,,
,,,,,15863,14.0,14,,,,,,
,,,,,15979,116.0,116,,,,,,
,,,,,16000,,,0.3550717532634735,13.152538299560547,13.120933532714844,3.166069746017456,0.52,0.0005
,,,,,16098,119.0,119,,,,,,
,,,,,16112,14.0,14,,,,,,
,,,,,16158,46.0,46,,,,,,
,,,,,16196,38.0,38,,,,,,
,,,,,16253,57.0,57,,,,,,
,,,,,16332,79.0,79,,,,,,
,,,,,16343,11.0,11,,,,,,
,,,,,16431,88.0,88,,,,,,
,,,,,16451,20.0,20,,,,,,
,,,,,16570,119.0,119,,,,,,
,,,,,16630,60.0,60,,,,,,
,,,,,16690,60.0,60,,,,,,
,,,,,16792,102.0,102,,,,,,
,,,,,16852,60.0,60,,,,,,
,,,,,17000,,,0.5359856486320496,13.805337905883789,13.703831672668457,4.864271640777588,0.49,0.0005
,,,,,17083,231.0,231,,,,,,
,,,,,17195,112.0,112,,,,,,
,,,,,17311,116.0,116,,,,,,
,,,,,17340,29.0,29,,,,,,
,,,,,17442,102.0,102,,,,,,
500.0,0.0,500.0,500.0,500.0,17500,,,0.07905106246471405,14.183128356933594,14.234291076660156,3.711198091506958,0.475,0.0005
,,,,,17509,67.0,67,,,,,,
,,,,,17555,46.0,46,,,,,,
,,,,,17770,215.0,215,,,,,,
,,,,,17897,127.0,127,,,,,,
,,,,,17995,98.0,98,,,,,,
,,,,,18000,,,0.042066458612680435,14.90489673614502,14.915244102478027,1.5092331171035767,0.45999999999999996,0.0005
,,,,,18073,78.0,78,,,,,,
,,,,,18128,55.0,55,,,,,,
,,,,,18366,238.0,238,,,,,,
,,,,,18388,22.0,22,,,,,,
,,,,,18556,168.0,168,,,,,,
,,,,,18709,153.0,153,,,,,,
,,,,,18726,17.0,17,,,,,,
,,,,,18882,156.0,156,,,,,,
,,,,,18907,25.0,25,,,,,,
,,,,,19000,,,0.21124371886253357,15.761991500854492,15.751408576965332,2.2986652851104736,0.43000000000000005,0.0005
,,,,,19143,236.0,236,,,,,,
,,,,,19194,51.0,51,,,,,,
,,,,,19206,12.0,12,,,,,,
,,,,,19304,98.0,98,,,,,,
,,,,,19428,124.0,124,,,,,,
,,,,,19457,29.0,29,,,,,,
,,,,,19477,20.0,20,,,,,,
,,,,,19506,29.0,29,,,,,,
,,,,,19589,83.0,83,,,,,,
,,,,,19732,143.0,143,,,,,,
,,,,,19743,11.0,11,,,,,,
,,,,,19792,49.0,49,,,,,,
,,,,,19824,32.0,32,,,,,,
,,,,,19863,39.0,39,,,,,,
,,,,,19973,110.0,110,,,,,,
,,,,,19989,16.0,16,,,,,,
,,,,,19999,10.0,10,,,,,,
249.9,20.427677,307.0,234.0,249.9,20000,,,0.05506147816777229,16.531070709228516,16.556915283203125,5.02778959274292,0.4,0.0005
,,,,,20288,289.0,289,,,,,,
,,,,,20573,285.0,285,,,,,,
,,,,,20587,14.0,14,,,,,,
,,,,,20686,99.0,99,,,,,,
,,,,,20765,79.0,79,,,,,,
,,,,,20833,68.0,68,,,,,,
,,,,,20843,10.0,10,,,,,,
,,,,,21000,,,0.0905500277876854,16.961421966552734,16.96885108947754,3.4344043731689453,0.37,0.0005
,,,,,21023,180.0,180,,,,,,
,,,,,21106,83.0,83,,,,,,
,,,,,21143,37.0,37,,,,,,
,,,,,21217,74.0,74,,,,,,
,,,,,21264,47.0,47,,,,,,
,,,,,21306,42.0,42,,,,,,
,,,,,21380,74.0,74,,,,,,
,,,,,21436,56.0,56,,,,,,
,,,,,21565,129.0,129,,,,,,
,,,,,21659,94.0,94,,,,,,
,,,,,21764,105.0,105,,,,,,
,,,,,21860,96.0,96,,,,,,
,,,,,21918,58.0,58,,,,,,
,,,,,22000,,,0.21185128390789032,17.710124969482422,17.75148582458496,4.598491191864014,0.3400000000000001,0.0005
,,,,,22077,159.0,159,,,,,,
,,,,,22119,42.0,42,,,,,,
,,,,,22373,254.0,254,,,,,,
,,,,,22419,46.0,46,,,,,,
,,,,,22472,53.0,53,,,,,,
,,,,,22482,10.0,10,,,,,,
171.9,60.930202,302.0,133.0,171.9,22500,,,0.14206042885780334,18.70358657836914,18.68985366821289,2.982590436935425,0.32499999999999996,0.0005
,,,,,22522,40.0,40,,,,,,
,,,,,22554,32.0,32,,,,,,
,,,,,22703,149.0,149,,,,,,
,,,,,22819,116.0,116,,,,,,
,,,,,22870,51.0,51,,,,,,
,,,,,22927,57.0,57,,,,,,
,,,,,22961,34.0,34,,,,,,
,,,,,23000,,,1.1676162481307983,19.227949142456055,19.14284896850586,11.860177993774414,0.30999999999999994,0.0005
,,,,,23017,56.0,56,,,,,,
,,,,,23161,144.0,144,,,,,,
,,,,,23195,34.0,34,,,,,,
,,,,,23335,140.0,140,,,,,,
,,,,,23628,293.0,293,,,,,,
,,,,,23705,77.0,77,,,,,,
