Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,3629,6.0,6,,,,,,,,,,
,,,,,3632,3.0,3,,,,,,,,,,
,,,,,3636,4.0,4,,,,,,,,,,
,,,,,3640,4.0,4,,,,,,,,,,
,,,,,3656,16.0,16,,,,,,,,,,
,,,,,3660,4.0,4,,,,,,,,,,
,,,,,3665,5.0,5,,,,,,,,,,
,,,,,3669,4.0,4,,,,,,,,,,
,,,,,3674,5.0,5,,,,,,,,,,
,,,,,3677,3.0,3,,,,,,,,,,
,,,,,3684,7.0,7,,,,,,,,,,
,,,,,3693,9.0,9,,,,,,,,,,
,,,,,3701,8.0,8,,,,,,,,,,
,,,,,3707,6.0,6,,,,,,,,,,
,,,,,3711,4.0,4,,,,,,,,,,
,,,,,3719,8.0,8,,,,,,,,,,
,,,,,3723,4.0,4,,,,,,,,,,
