Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2210,8.0,8,,,,,,,,
,,,,,2223,13.0,13,,,,,,,,
,,,,,2226,3.0,3,,,,,,,,
,,,,,2235,9.0,9,,,,,,,,
,,,,,2255,20.0,20,,,,,,,,
,,,,,2259,4.0,4,,,,,,,,
,,,,,2266,7.0,7,,,,,,,,
,,,,,2270,4.0,4,,,,,,,,
,,,,,2287,17.0,17,,,,,,,,
,,,,,2292,5.0,5,,,,,,,,
,,,,,2295,3.0,3,,,,,,,,
,,,,,2298,3.0,3,,,,,,,,
,,,,,2303,5.0,5,,,,,,,,
,,,,,2308,5.0,5,,,,,,,,
,,,,,2312,4.0,4,,,,,,,,
,,,,,2322,10.0,10,,,,,,,,
,,,,,2330,8.0,8,,,,,,,,
,,,,,2341,11.0,11,,,,,,,,
,,,,,2352,11.0,11,,,,,,,,
,,,,,2357,5.0,5,,,,,,,,
,,,,,2361,4.0,4,,,,,,,,
,,,,,2365,4.0,4,,,,,,,,
,,,,,2369,4.0,4,,,,,,,,
,,,,,2373,4.0,4,,,,,,,,
,,,,,2376,3.0,3,,,,,,,,
,,,,,2381,5.0,5,,,,,,,,
,,,,,2389,8.0,8,,,,,,,,
,,,,,2401,12.0,12,,,,,,,,
,,,,,2407,6.0,6,,,,,,,,
,,,,,2414,7.0,7,,,,,,,,
,,,,,2420,6.0,6,,,,,,,,
,,,,,2424,4.0,4,,,,,,,,
,,,,,2431,7.0,7,,,,,,,,
,,,,,2435,4.0,4,,,,,,,,
,,,,,2441,6.0,6,,,,,,,,
,,,,,2444,3.0,3,,,,,,,,
,,,,,2457,13.0,13,,,,,,,,
,,,,,2467,10.0,10,,,,,,,,
,,,,,2471,4.0,4,,,,,,,,
,,,,,2477,6.0,6,,,,,,,,
,,,,,2486,9.0,9,,,,,,,,
,,,,,2489,3.0,3,,,,,,,,
,,,,,2498,9.0,9,,,,,,,,
,,,,,2506,8.0,8,,,,,,,,
,,,,,2512,6.0,6,,,,,,,,
,,,,,2522,10.0,10,,,,,,,,
,,,,,2530,8.0,8,,,,,,,,
,,,,,2538,8.0,8,,,,,,,,
,,,,,2549,11.0,11,,,,,,,,
,,,,,2560,11.0,11,,,,,,,,
,,,,,2563,3.0,3,,,,,,,,
,,,,,2575,12.0,12,,,,,,,,
,,,,,2583,8.0,8,,,,,,,,
,,,,,2587,4.0,4,,,,,,,,
,,,,,2592,5.0,5,,,,,,,,
,,,,,2598,6.0,6,,,,,,,,
,,,,,2602,4.0,4,,,,,,,,
,,,,,2612,10.0,10,,,,,,,,
,,,,,2617,5.0,5,,,,,,,,
,,,,,2626,9.0,9,,,,,,,,
,,,,,2632,6.0,6,,,,,,,,
,,,,,2637,5.0,5,,,,,,,,
,,,,,2641,4.0,4,,,,,,,,
,,,,,2645,4.0,4,,,,,,,,
,,,,,2658,13.0,13,,,,,,,,
,,,,,2664,6.0,6,,,,,,,,
,,,,,2667,3.0,3,,,,,,,,
,,,,,2671,4.0,4,,,,,,,,
,,,,,2678,7.0,7,,,,,,,,
,,,,,2682,4.0,4,,,,,,,,
,,,,,2686,4.0,4,,,,,,,,
,,,,,2694,8.0,8,,,,,,,,
,,,,,2701,7.0,7,,,,,,,,
,,,,,2705,4.0,4,,,,,,,,
,,,,,2709,4.0,4,,,,,,,,
,,,,,2712,3.0,3,,,,,,,,
,,,,,2719,7.0,7,,,,,,,,
,,,,,2722,3.0,3,,,,,,,,
,,,,,2727,5.0,5,,,,,,,,
,,,,,2733,6.0,6,,,,,,,,
,,,,,2738,5.0,5,,,,,,,,
,,,,,2741,3.0,3,,,,,,,,
,,,,,2749,8.0,8,,,,,,,,
,,,,,2766,17.0,17,,,,,,,,
,,,,,2775,9.0,9,,,,,,,,
,,,,,2781,6.0,6,,,,,,,,
,,,,,2785,4.0,4,,,,,,,,
,,,,,2792,7.0,7,,,,,,,,
,,,,,2796,4.0,4,,,,,,,,
,,,,,2802,6.0,6,,,,,,,,
,,,,,2807,5.0,5,,,,,,,,
,,,,,2832,25.0,25,,,,,,,,
,,,,,2837,5.0,5,,,,,,,,
,,,,,2841,4.0,4,,,,,,,,
,,,,,2845,4.0,4,,,,,,,,
,,,,,2852,7.0,7,,,,,,,,
,,,,,2866,14.0,14,,,,,,,,
,,,,,2877,11.0,11,,,,,,,,
,,,,,2882,5.0,5,,,,,,,,
,,,,,2887,5.0,5,,,,,,,,
,,,,,2895,8.0,8,,,,,,,,
,,,,,2910,15.0,15,,,,,,,,
,,,,,2926,16.0,16,,,,,,,,
,,,,,2929,3.0,3,,,,,,,,
,,,,,2936,7.0,7,,,,,,,,
,,,,,2942,6.0,6,,,,,,,,
,,,,,2951,9.0,9,,,,,,,,
,,,,,2955,4.0,4,,,,,,,,
,,,,,2958,3.0,3,,,,,,,,
,,,,,2964,6.0,6,,,,,,,,
,,,,,2976,12.0,12,,,,,,,,
,,,,,2984,8.0,8,,,,,,,,
,,,,,2988,4.0,4,,,,,,,,
,,,,,2995,7.0,7,,,,,,,,
,,,,,3001,6.0,6,,,,,,,,
,,,,,3008,7.0,7,,,,,,,,
,,,,,3016,8.0,8,,,,,,,,
,,,,,3020,4.0,4,,,,,,,,
,,,,,3041,21.0,21,,,,,,,,
,,,,,3049,8.0,8,,,,,,,,
,,,,,3057,8.0,8,,,,,,,,
,,,,,3062,5.0,5,,,,,,,,
,,,,,3071,9.0,9,,,,,,,,
,,,,,3075,4.0,4,,,,,,,,
