Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,29951,-141.29904,112,,,,,,
-414.65518,552.22894,251.10812,-1136.9991,670.5,30000,,,10.524292945861816,-7.131639003753662,-6.19598388671875,55.795589447021484,0.82,0.001
,,,,,30053,-105.309204,102,,,,,,
,,,,,30129,-76.097275,76,,,,,,
,,,,,30252,-115.38612,123,,,,,,
,,,,,30350,-56.072285,98,,,,,,
,,,,,30454,-112.39505,104,,,,,,
,,,,,30558,-111.18055,104,,,,,,
,,,,,30669,-118.05285,111,,,,,,
,,,,,30759,-96.19858,90,,,,,,
,,,,,30917,-91.97482,158,,,,,,
,,,,,30981,-83.73555,64,,,,,,
,,,,,31000,,,29.119230270385742,1.6926515102386475,2.2442831993103027,90.86715698242188,0.8140000000000001,0.001
,,,,,31059,-57.539036,78,,,,,,
,,,,,31171,-61.910175,112,,,,,,
,,,,,31251,-93.67191,80,,,,,,
,,,,,31376,-10.616158,125,,,,,,
,,,,,31489,-126.956345,113,,,,,,
,,,,,31592,-71.69446,103,,,,,,
,,,,,31696,-106.92907,104,,,,,,
,,,,,31775,-30.953781,79,,,,,,
,,,,,31923,-124.363045,148,,,,,,
,,,,,32000,,,2.1224474906921387,-3.0082497596740723,-2.84490966796875,31.122886657714844,0.808,0.001
,,,,,32015,-132.24173,92,,,,,,
,,,,,32100,-83.98095,85,,,,,,
,,,,,32204,-159.45663,104,,,,,,
,,,,,32322,-86.11942,118,,,,,,
,,,,,32425,-73.98717,103,,,,,,
,,,,,32544,-12.071571,119,,,,,,
,,,,,32619,-221.9931,75,,,,,,
,,,,,32804,-53.301453,185,,,,,,
,,,,,32931,-241.11331,127,,,,,,
,,,,,33000,,,2.6070284843444824,-1.0590460300445557,-1.3447262048721313,19.938983917236328,0.802,0.001
,,,,,33066,-40.282642,135,,,,,,
,,,,,33126,-106.960434,60,,,,,,
,,,,,33201,-87.96531,75,,,,,,
,,,,,33334,-0.9766693,133,,,,,,
,,,,,33443,-83.645004,109,,,,,,
,,,,,33577,-80.227615,134,,,,,,
,,,,,33633,-78.6337,56,,,,,,
,,,,,33701,-61.061985,68,,,,,,
,,,,,33807,-95.1866,106,,,,,,
,,,,,33890,-83.64464,83,,,,,,
,,,,,33957,-80.51087,67,,,,,,
,,,,,34000,,,2.545417308807373,-1.3177410364151,-1.202014446258545,28.640396118164062,0.796,0.001
,,,,,34036,-85.069534,79,,,,,,
,,,,,34156,-63.933105,120,,,,,,
,,,,,34227,-61.406002,71,,,,,,
,,,,,34343,-99.41204,116,,,,,,
,,,,,34465,-97.049774,122,,,,,,
,,,,,34532,-66.027306,67,,,,,,
,,,,,34611,-117.97292,79,,,,,,
,,,,,34696,-55.06081,85,,,,,,
,,,,,34846,-103.79163,150,,,,,,
,,,,,34964,-126.99899,118,,,,,,
,,,,,35000,,,23.52853775024414,-0.17801624536514282,-0.1480647325515747,47.038002014160156,0.79,0.001
,,,,,35037,-158.4671,73,,,,,,
,,,,,35131,-95.72423,94,,,,,,
,,,,,35283,-64.21516,152,,,,,,
,,,,,35359,-73.95697,76,,,,,,
,,,,,35471,-29.109436,112,,,,,,
,,,,,35547,-35.707596,76,,,,,,
,,,,,35639,-32.430214,92,,,,,,
,,,,,35710,-79.75476,71,,,,,,
,,,,,35804,-371.29733,94,,,,,,
,,,,,35900,-85.56366,96,,,,,,
,,,,,36000,,,12.80844783782959,-2.342010498046875,-2.9580349922180176,45.71812438964844,0.784,0.001
,,,,,36030,-71.614006,130,,,,,,
,,,,,36194,-76.68129,164,,,,,,
,,,,,36301,28.851944,107,,,,,,
,,,,,36369,-85.9202,68,,,,,,
,,,,,36461,-83.070045,92,,,,,,
,,,,,36568,-129.08778,107,,,,,,
,,,,,36643,-69.92756,75,,,,,,
,,,,,36746,-73.17113,103,,,,,,
,,,,,36845,-79.90033,99,,,,,,
,,,,,36925,-61.96495,80,,,,,,
,,,,,37000,,,4.1128315925598145,-1.144966959953308,-0.8549540042877197,34.638790130615234,0.778,0.001
,,,,,37058,-134.96947,133,,,,,,
,,,,,37193,-155.46909,135,,,,,,
,,,,,37287,-11.590973,94,,,,,,
,,,,,37425,-221.41673,138,,,,,,
,,,,,37499,-52.566086,74,,,,,,
,,,,,37572,-49.07147,73,,,,,,
,,,,,37676,-79.432144,104,,,,,,
,,,,,37734,-75.158005,58,,,,,,
,,,,,37820,10.202721,86,,,,,,
,,,,,37893,-16.219734,73,,,,,,
,,,,,37978,-94.89017,85,,,,,,
,,,,,38000,,,8.585474014282227,-3.6895666122436523,-4.1759209632873535,44.252601623535156,0.772,0.001
,,,,,38115,-69.520584,137,,,,,,
,,,,,38237,-95.00168,122,,,,,,
,,,,,38357,-61.208897,120,,,,,,
,,,,,38434,-32.279114,77,,,,,,
,,,,,38529,-51.575706,95,,,,,,
,,,,,38629,-70.7403,100,,,,,,
,,,,,38745,-312.35138,116,,,,,,
,,,,,38859,-80.71967,114,,,,,,
,,,,,38951,-24.276627,92,,,,,,
,,,,,39000,,,5.081718921661377,11.830625534057617,12.922735214233398,72.40709686279297,0.766,0.001
,,,,,39033,-96.10903,82,,,,,,
,,,,,39105,-108.77714,72,,,,,,
,,,,,39209,-114.52082,104,,,,,,
,,,,,39300,-122.37535,91,,,,,,
,,,,,39426,-59.670593,126,,,,,,
,,,,,39525,-34.72793,99,,,,,,
,,,,,39640,-86.156334,115,,,,,,
,,,,,39745,-86.796455,105,,,,,,
,,,,,39849,-110.691055,104,,,,,,
,,,,,39914,-65.6107,65,,,,,,
,,,,,39997,-30.432205,83,,,,,,
-173.52103,56.048603,-67.243286,-265.78143,443.4,40000,,,10.380759239196777,6.15647554397583,5.86351203918457,69.8563461303711,0.76,0.001
,,,,,40109,-82.23237,112,,,,,,
,,,,,40241,-45.052296,132,,,,,,
,,,,,40360,-96.19735,119,,,,,,
,,,,,40447,-72.6829,87,,,,,,
,,,,,40523,-52.093098,76,,,,,,
,,,,,40602,-193.55988,79,,,,,,
,,,,,40734,-73.62805,132,,,,,,
