Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,8083,10.153188,13,,,,,,,,
,,,,,8097,12.504747,14,,,,,,,,
,,,,,8128,33.780823,31,,,,,,,,
,,,,,8139,8.520467,11,,,,,,,,
,,,,,8186,72.4451,47,,,,,,,,
,,,,,8220,45.26952,34,,,,,,,,
,,,,,8234,13.01117,14,,,,,,,,
,,,,,8252,16.037556,18,,,,,,,,
,,,,,8265,11.709786,13,,,,,,,,
,,,,,8296,39.943657,31,,,,,,,,
,,,,,8315,12.188676,19,,,,,,,,
,,,,,8329,12.071227,14,,,,,,,,
,,,,,8341,8.471789,12,,,,,,,,
,,,,,8363,20.424881,22,,,,,,,,
,,,,,8376,11.046957,13,,,,,,,,
,,,,,8389,10.485797,13,,,,,,,,
,,,,,8401,9.975608,12,,,,,,,,
,,,,,8429,37.682327,28,,,,,,,,
,,,,,8440,9.123376,11,,,,,,,,
,,,,,8458,8.018169,18,,,,,,,,
,,,,,8479,13.657791,21,,,,,,,,
,,,,,8525,45.768326,46,,,,,,,,
,,,,,8543,15.72122,18,,,,,,,,
,,,,,8559,18.084127,16,,,,,,,,
,,,,,8597,32.905018,38,,,,,,,,
,,,,,8607,6.692998,10,,,,,,,,
,,,,,8620,10.526815,13,,,,,,,,
,,,,,8635,10.252348,15,,,,,,,,
,,,,,8655,17.534977,20,,,,,,,,
,,,,,8679,24.644917,24,,,,,,,,
,,,,,8692,11.011726,13,,,,,,,,
,,,,,8709,14.165699,17,,,,,,,,
,,,,,8742,29.247673,33,,,,,,,,
,,,,,8751,4.5434995,9,,,,,,,,
,,,,,8762,9.49593,11,,,,,,,,
,,,,,8772,7.266467,10,,,,,,,,
,,,,,8790,16.28338,18,,,,,,,,
,,,,,8808,11.944502,18,,,,,,,,
,,,,,8831,19.274672,23,,,,,,,,
,,,,,8884,77.96924,53,,,,,,,,
,,,,,8896,9.160041,12,,,,,,,,
,,,,,8914,16.996199,18,,,,,,,,
,,,,,8928,12.962426,14,,,,,,,,
,,,,,8943,12.770328,15,,,,,,,,
,,,,,8960,13.325217,17,,,,,,,,
,,,,,8973,7.529023,13,,,,,,,,
,,,,,9003,19.150019,30,,,,,,,,
,,,,,9026,10.721872,23,,,,,,,,
,,,,,9065,28.014032,39,,,,,,,,
,,,,,9093,35.06117,28,,,,,,,,
,,,,,9136,52.98149,43,,,,,,,,
,,,,,9154,12.064712,18,,,,,,,,
,,,,,9177,8.197018,23,,,,,,,,
,,,,,9192,14.8133955,15,,,,,,,,
,,,,,9203,8.825956,11,,,,,,,,
,,,,,9212,6.3303385,9,,,,,,,,
,,,,,9222,8.830887,10,,,,,,,,
,,,,,9236,10.600104,14,,,,,,,,
,,,,,9252,15.19608,16,,,,,,,,
,,,,,9269,10.38279,17,,,,,,,,
,,,,,9284,11.833571,15,,,,,,,,
,,,,,9304,19.302917,20,,,,,,,,
,,,,,9324,12.936908,20,,,,,,,,
,,,,,9341,16.515,17,,,,,,,,
,,,,,9371,18.0857,30,,,,,,,,
,,,,,9396,29.57907,25,,,,,,,,
,,,,,9423,26.908167,27,,,,,,,,
,,,,,9433,7.210013,10,,,,,,,,
,,,,,9452,19.283386,19,,,,,,,,
,,,,,9468,15.425314,16,,,,,,,,
,,,,,9479,7.287015,11,,,,,,,,
,,,,,9500,22.06764,21,,,,,,,,
,,,,,9574,123.79869,74,,,,,,,,
,,,,,9589,14.267119,15,,,,,,,,
,,,,,9606,17.105856,17,,,,,,,,
,,,,,9622,14.852513,16,,,,,,,,
,,,,,9638,11.084266,16,,,,,,,,
,,,,,9676,10.330631,38,,,,,,,,
,,,,,9699,30.907837,23,,,,,,,,
,,,,,9738,25.64501,39,,,,,,,,
,,,,,9760,22.330976,22,,,,,,,,
,,,,,9775,15.843188,15,,,,,,,,
,,,,,9814,54.500587,39,,,,,,,,
,,,,,9829,13.534654,15,,,,,,,,
,,,,,9845,14.984994,16,,,,,,,,
,,,,,9864,6.910722,19,,,,,,,,
,,,,,9888,15.729615,24,,,,,,,,
,,,,,9906,8.892748,18,,,,,,,,
,,,,,9923,16.330805,17,,,,,,,,
,,,,,9954,43.60109,31,,,,,,,,
,,,,,9968,13.323596,14,,,,,,,,
,,,,,9986,14.743811,18,,,,,,,,
